date,symbol,close,return_1d,next_return_1d,trend_return,realized_vol_annualized,causal_vol_threshold,regime
2021-01-01 00:00:00+00:00,BTCUSDT,29337.16,,0.09758102011,,,,
2021-01-02 00:00:00+00:00,BTCUSDT,32199.91,0.09758102011,0.02654106797,,,,
2021-01-03 00:00:00+00:00,BTCUSDT,33054.53,0.02654106797,-0.03096277575,,,,
2021-01-04 00:00:00+00:00,BTCUSDT,32031.07,-0.03096277575,0.06145439412,,,,
2021-01-05 00:00:00+00:00,BTCUSDT,33999.52,0.06145439412,0.08306470209,,,,
2021-01-06 00:00:00+00:00,BTCUSDT,36823.68,0.08306470209,0.07264999044,,,,
2021-01-07 00:00:00+00:00,BTCUSDT,39498.92,0.07264999044,0.02881876264,,,,
2021-01-08 00:00:00+00:00,BTCUSDT,40637.23,0.02881876264,-0.01233327173,,,,
2021-01-09 00:00:00+00:00,BTCUSDT,40136.04,-0.01233327173,-0.04769703239,,,,
2021-01-10 00:00:00+00:00,BTCUSDT,38221.67,-0.04769703239,-0.0736024878,,,,
2021-01-11 00:00:00+00:00,BTCUSDT,35408.46,-0.0736024878,-0.03817053891,,,,
2021-01-12 00:00:00+00:00,BTCUSDT,34056.9,-0.03817053891,0.09878086379,,,,
2021-01-13 00:00:00+00:00,BTCUSDT,37421.07,0.09878086379,0.04655772804,,,,
2021-01-14 00:00:00+00:00,BTCUSDT,39163.31,0.04655772804,-0.06148790794,,,,
2021-01-15 00:00:00+00:00,BTCUSDT,36755.24,-0.06148790794,-0.01984968674,,,,
2021-01-16 00:00:00+00:00,BTCUSDT,36025.66,-0.01984968674,-0.004325527971,,,,
2021-01-17 00:00:00+00:00,BTCUSDT,35869.83,-0.004325527971,0.02277763792,,,,
2021-01-18 00:00:00+00:00,BTCUSDT,36686.86,0.02277763792,-0.02169250789,,,,
2021-01-19 00:00:00+00:00,BTCUSDT,35891.03,-0.02169250789,-0.01089492277,,,,
2021-01-20 00:00:00+00:00,BTCUSDT,35500,-0.01089492277,-0.1301416901,,,,
2021-01-21 00:00:00+00:00,BTCUSDT,30879.97,-0.1301416901,0.06821153,,,,
2021-01-22 00:00:00+00:00,BTCUSDT,32986.34,0.06821153,-0.02727977702,,,,
2021-01-23 00:00:00+00:00,BTCUSDT,32086.48,-0.02727977702,0.005895006246,,,,
2021-01-24 00:00:00+00:00,BTCUSDT,32275.63,0.005895006246,-0.0006800796762,,,,
2021-01-25 00:00:00+00:00,BTCUSDT,32253.68,-0.0006800796762,0.006835189039,,,,
2021-01-26 00:00:00+00:00,BTCUSDT,32474.14,0.006835189039,-0.06445436276,,,,
2021-01-27 00:00:00+00:00,BTCUSDT,30381.04,-0.06445436276,0.09936164134,,,,
2021-01-28 00:00:00+00:00,BTCUSDT,33399.75,0.09936164134,0.02603612302,,,,
2021-01-29 00:00:00+00:00,BTCUSDT,34269.35,0.02603612302,0.0005982021836,,,,
2021-01-30 00:00:00+00:00,BTCUSDT,34289.85,0.0005982021836,-0.03393540654,,,,
2021-01-31 00:00:00+00:00,BTCUSDT,33126.21,-0.03393540654,0.01267515964,,1.074965842,,
2021-02-01 00:00:00+00:00,BTCUSDT,33546.09,0.01267515964,0.05836656373,,1.026607111,,
2021-02-02 00:00:00+00:00,BTCUSDT,35504.06,0.05836656373,0.06051279769,,1.041319792,,
2021-02-03 00:00:00+00:00,BTCUSDT,37652.51,0.06051279769,-0.01794249573,,1.051911256,,
2021-02-04 00:00:00+00:00,BTCUSDT,36976.93,-0.01794249573,0.03747525822,,1.03628518,,
